Brand,Year,Model,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,State,Cylinders,Capacity
Volkswagen,2018,Tiguan,2018 Volkswagen Tiguan 140 TDI Highline,USED,Automatic,AWD,Diesel,5.9,102563.0,Black / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Toyota,2020,RAV4,2020 Toyota RAV4 Cruiser (2WD) Hybrid,USED,Automatic,Front,Hybrid,4.7,20763.0,White / -,4 cyl,SUV,5 Doors, 5 Seats,NSW,4.0,2.5
Land,2017,Rover,2017 Land Rover Discovery Sport TD4 180 HSE 5 Seat,USED,Automatic,AWD,Diesel,5.3,85871.0,White / -,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.0
Mitsubishi,2022,Outlander,2022 Mitsubishi Outlander LS 7 Seat (2WD),USED,Automatic,Front,Unleaded,7.7,16813.0,White / Cloth,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,2.5
Mazda,2016,BT-50,2016 Mazda BT-50 XTR (4X2),USED,Automatic,Rear,Diesel,8.9,233266.0,White / Black,5 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,5.0,3.2
Volkswagen,2018,Amarok,2018 Volkswagen Amarok V6 TDI 550 Dark Label,USED,Automatic,4WD,Diesel,7.8,177188.0,White / -,6 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,6.0,3.0
Nissan,2013,Pathfinder,2013 Nissan Pathfinder ST (4X2),USED,Automatic,Front,Premium,9.9,233000.0,Burgundy / -,6 cyl,SUV,4 Doors, 7 Seats,VIC,6.0,3.5
Hyundai,2022,I30,2022 Hyundai I30 Elite,USED,Automatic,Front,Unleaded,7.0,12296.0,- / Grey,4 cyl,Sedan,4 Doors, 5 Seats, WA,4.0,2.0
Land,2016,Rover,2016 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,AWD,Diesel,5.1,74733.0,Red / -,4 cyl,SUV,5 Doors, 5 Seats,NSW,4.0,2.0
Hyundai,2016,I30,2016 Hyundai I30 Active,USED,Automatic,Front,Unleaded,7.3,86339.0,Silver / -,4 cyl,Hatchback,5 Doors, 5 Seats, WA,4.0,1.8
Nissan,2010,Navara,2010 Nissan Navara ST-X (4X4),USED,Automatic,4WD,Diesel,10.5,178000.0,Red / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.5
Chevrolet,2022,Silverado,2022 Chevrolet Silverado 1500 LTZ Premium Tech Pack,USED,Automatic,4WD,Unleaded,13.2,12057.0,Black / Black / Leather,8 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,8.0,6.2
Subaru,2013,Forester,2013 Subaru Forester 2.0I,USED,Manual,AWD,Unleaded,7.2,122077.0,Red / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Mazda,2011,CX-7,2011 Mazda CX-7 Luxury Sports,USED,Automatic,Other,Unleaded,7.6,158007.0,Black / -,-,Wagon,missing_dr,missing_seats,NSW,4.0,2.2
Mazda,2017,CX-3,2017 Mazda CX-3 Maxx (fwd),USED,Automatic,Front,Unleaded,6.1,144200.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.0
Mitsubishi,2003,Delica,2003 Mitsubishi Delica Spacegear,USED,Automatic,Other,Unleaded,7.6,115903.0,White / Grey,-,Commercial,missing_dr,missing_seats,NSW,4.0,2.2
Toyota,2019,Camry,2019 Toyota Camry Ascent (hybrid),USED,Automatic,Front,Hybrid,4.2,99437.0,White / Black,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.5
Toyota,2018,Hilux,2018 Toyota Hilux SR (4X4),USED,Automatic,4WD,Diesel,9.0,210705.0,White / Grey,4 cyl,Ute / Tray,2 Doors, 2 Seats,NSW,4.0,2.8
Subaru,2021,Forester,2021 Subaru Forester 2.5I (awd),USED,Automatic,AWD,Unleaded,7.4,61563.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.5
Peugeot,2018,5008,2018 Peugeot 5008 GT Line,USED,Automatic,Front,Premium,7.3,51253.0,White / Black,4 cyl,SUV,4 Doors, 7 Seats,VIC,4.0,1.6
Suzuki,2018,Vitara,2018 Suzuki Vitara RT-S,USED,Automatic,Front,Unleaded,6.0,38078.0,White / Grey,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,1.6
Holden,2018,Colorado,2018 Holden Colorado LTZ (4X4),USED,Automatic,4WD,Diesel,9.1,106648.0,Grey / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,4.0,2.8
Toyota,2020,RAV4,2020 Toyota RAV4 GX 2WD Hybrid,USED,Automatic,Front,Hybrid,4.7,52318.0,Silver / Black Fabric,4 cyl,SUV,5 Doors, 5 Seats, WA,4.0,2.5
Mahindra,2023,Scorpio-N,2023 Mahindra Scorpio-N Z8,DEMO,Automatic,4WD,Diesel,7.2,22.0,Green / Brown,4 cyl,SUV,4 Doors, 6 Seats,VIC,4.0,2.2
Toyota,2021,RAV4,2021 Toyota RAV4 GX (2WD) Hybrid,USED,Automatic,Front,Hybrid,4.7,54465.0,White / -,4 cyl,SUV,5 Doors, 5 Seats, SA,4.0,2.5
Ford,2022,Escape,2022 Ford Escape Vignale (awd),USED,Automatic,AWD,Premium,8.6,4586.0,Silver / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
MG,2021,ZST,2021 MG ZST Core,USED,Automatic,Front,Unleaded,6.9,17670.0,White / Black,4 cyl,SUV,5 Doors, 5 Seats,QLD,4.0,1.5
Holden,2014,Colorado,2014 Holden Colorado LTZ (4X4),USED,Automatic,4WD,Diesel,9.1,158262.0,White / Black,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.8
Porsche,2015,Boxster,2015 Porsche Boxster Black Edition,USED,Automatic,Rear,Premium,7.7,39453.0,Black / Black Leather,6 cyl,Convertible,2 Doors, 2 Seats,NSW,6.0,2.7
Volkswagen,2017,Amarok,2017 Volkswagen Amarok V6 TDI 550 Ultimate,USED,Automatic,4WD,Diesel,7.8,151400.0,Grey / Black,6 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,6.0,3.0
Hyundai,2012,I30,2012 Hyundai I30 Active,USED,Manual,Front,Unleaded,6.5,144730.0,Blue / Black,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,1.8
Holden,2011,Commodore,2011 Holden Commodore SV6,USED,Automatic,Rear,Unleaded,10.1,144056.0,Green / -,6 cyl,Sedan,4 Doors, 5 Seats,QLD,6.0,3.6
Toyota,2022,RAV4,2022 Toyota RAV4 Edge (awd) Hybrid,USED,Automatic,AWD,Hybrid,4.8,10702.0,Grey / Black,4 cyl,SUV,5 Doors, 5 Seats,NSW,4.0,2.5
Volkswagen,2013,Tiguan,2013 Volkswagen Tiguan 155 TSI (4X4),USED,Automatic,AWD,Premium,8.8,126408.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Toyota,2016,HiAce,2016 Toyota HiAce LWB,USED,Automatic,Rear,Diesel,8.0,229829.0,White / Grey,4 cyl,Commercial,4 Doors, 2 Seats,NSW,4.0,3.0
Holden,2006,Commodore,2006 Holden Commodore Executive,USED,Automatic,Rear,Unleaded,11.3,209751.0,Silver / -,6 cyl,Wagon,4 Doors, 5 Seats,NSW,6.0,3.6
Mazda,2018,3,2018 Mazda 3 SP25 Astina,USED,Automatic,Front,Unleaded,6.0,58493.0,Silver / Black,4 cyl,Sedan,4 Doors, 5 Seats,VIC,4.0,2.5
Mazda,2019,CX-3,2019 Mazda CX-3 S Touring (fwd),USED,Automatic,Front,Unleaded,6.3,3888.0,Blue / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Nissan,2012,Dualis,2012 Nissan Dualis ST (4X2),USED,Automatic,Front,Unleaded,8.2,157645.0,Black / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Toyota,2005,Hilux,2005 Toyota Hilux Workmate,USED,Manual,Rear,Unleaded,11.0,303119.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.7
Mazda,2020,3,2020 Mazda 3 G20 Touring,USED,Automatic,Front,Unleaded,6.2,66704.0,Red / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,2.0
Holden,2016,Commodore,2016 Holden Commodore SV6 Black Pack,USED,Automatic,Rear,Unleaded,9.5,102917.0,White / Null,6 cyl,Sedan,4 Doors, 5 Seats, WA,6.0,3.6
Nissan,2008,Navara,2008 Nissan Navara RX (4X4),USED,Manual,4WD,Diesel,9.3,218286.0,Blue / -,4 cyl,Ute / Tray,2 Doors, 3 Seats,VIC,4.0,2.5
Holden,2006,Astra,2006 Holden Astra CD,USED,Manual,Front,Unleaded,7.8,165722.0,White / Black,4 cyl,Hatchback,5 Doors, 5 Seats,QLD,4.0,1.8
Hyundai,2013,Santa,2013 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,AWD,Diesel,7.3,230711.0,Brown / Beige,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,2.2
FPV,2004,Pursuit,2004 FPV Pursuit,USED,Manual,Rear,Premium,7.6,238000.0,Blue / -,8 cyl,Ute / Tray,2 Doors, 2 Seats,NSW,8.0,5.4
Mini,2018,Convertible,2018 Mini Convertible Cooper S,USED,Automatic,Front,Premium,5.7,26758.0,Orange / Black,4 cyl,Convertible,2 Doors, 4 Seats,NSW,4.0,2.0
Suzuki,2018,Swift,2018 Suzuki Swift GL Navigator,USED,Automatic,Front,Unleaded,4.8,62948.0,Red / Black,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,1.2
Toyota,2022,RAV4,2022 Toyota RAV4 GXL (2WD),USED,Automatic,Front,Unleaded,6.0,8052.0,White / Embossed Pattern Black Fabric,4 cyl,SUV,5 Doors, 5 Seats,VIC,4.0,2.0
Mitsubishi,2007,Express,2007 Mitsubishi Express SWB,USED,Manual,Rear,Unleaded,12.0,157296.0,White / Grey,4 cyl,Commercial,2 Doors, 2 Seats,VIC,4.0,2.4
Holden,2016,Commodore,2016 Holden Commodore SV6 Reserve Edition,USED,Automatic,Rear,Unleaded,9.5,81000.0,Blue / 2016/04,6 cyl,Sedan,4 Doors, 5 Seats,VIC,6.0,3.6
Nissan,2021,Qashqai,2021 Nissan Qashqai TI,USED,Automatic,Front,Unleaded,6.9,24781.0,Blue / -,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.0
Toyota,2018,Camry,2018 Toyota Camry SL (hybrid),USED,Automatic,Front,Hybrid,4.5,57367.0,White / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.5
Ford,2016,Ranger,2016 Ford Ranger XL 3.2 (4X4),USED,Automatic,4WD,Diesel,8.8,84841.0,White / -,5 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,5.0,3.2
Mazda,2020,CX-5,2020 Mazda CX-5 GT (4X4),USED,Automatic,AWD,Unleaded,7.5,63425.0,Blue / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.5
Kia,2019,Cerato,2019 Kia Cerato S (AV),USED,Automatic,Front,Unleaded,7.4,57418.0,Red / Black,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,2.0
Volkswagen,2007,Golf,2007 Volkswagen Golf GT Sport TDI,USED,Automatic,Front,Diesel,6.3,166343.0,Silver / -,4 cyl,Hatchback,5 Doors, 5 Seats, WA,4.0,2.0
MG,2022,ZS,2022 MG ZS Excite,USED,Automatic,Front,Unleaded,7.1,16148.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,1.5
Hyundai,2014,I30,2014 Hyundai I30 Trophy,USED,Manual,Front,Unleaded,6.8,194510.0,Silver / Black Leather,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.8
Mitsubishi,2019,Triton,2019 Mitsubishi Triton GLX Adas,USED,Automatic,Rear,Diesel,7.5,9438.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats, WA,4.0,2.4
Jeep,2012,Grand,2012 Jeep Grand Cherokee Overland (4X4),USED,Automatic,AWD,Premium,11.0,181271.0,Grey / -,6 cyl,SUV,4 Doors, 5 Seats, WA,6.0,3.6
BMW,2009,320I,2009 BMW 320I Executive,USED,Automatic,Rear,Unleaded,8.0,94800.0,Grey / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.0
Mazda,2023,CX-5,2023 Mazda CX-5 Touring (awd),NEW,Automatic,AWD,Unleaded,7.5,25.0,Gold / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.5
BMW,2018,X3,2018 BMW X3 Xdrive 30I,USED,Automatic,4WD,Premium,7.6,119500.0,Blue / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.0
Mazda,2017,6,2017 Mazda 6 GT,USED,Automatic,Front,Unleaded,6.6,117874.0,- / -,4 cyl,Wagon,4 Doors, 5 Seats, WA,4.0,2.5
Mazda,2017,2,2017 Mazda 2 NEO,USED,Automatic,Front,Unleaded,5.5,106946.0,Grey / Black,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.5
Mazda,2017,3,2017 Mazda 3 NEO,USED,Automatic,Front,Unleaded,5.8,66188.0,White / Black,4 cyl,Hatchback,5 Doors, 5 Seats,QLD,4.0,2.0
MG,2022,MG3,2022 MG MG3 Auto Core (with Navigation),NEW,Automatic,Front,Premium,6.7,15.0,White / Black & Grey Cloth,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.5
GWM,2022,UTE,2022 GWM UTE Cannon-L (4X4),DEMO,Automatic,4WD,Diesel,9.4,21.0,Grey / Charcoal Comfort,4 cyl,Ute / Tray,4 Doors, 5 Seats,ACT,4.0,2.0
Renault,2014,Koleos,2014 Renault Koleos Bose SE (4X2),USED,Automatic,Front,Premium,9.3,92029.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.5
BMW,2012,116I,2012 BMW 116I,USED,Manual,Rear,Premium,5.7,133884.0,Blue / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.6
Alfa,2015,Romeo,2015 Alfa Romeo Giulietta Quadrifoglio Verde,USED,Automatic,Front,Premium,7.0,52269.0,Red / Black,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.7
Nissan,2018,Pathfinder,2018 Nissan Pathfinder ST-L (4X2),USED,Automatic,Front,Premium,9.9,72139.0,Black / Black,6 cyl,SUV,4 Doors, 7 Seats, NT,6.0,3.5
Holden,2005,Caprice,2005 Holden Caprice,USED,Automatic,Rear,Unleaded,13.5,231786.0,White / Grey,8 cyl,Sedan,4 Doors, 5 Seats,NSW,8.0,5.7
Mitsubishi,2014,Triton,2014 Mitsubishi Triton GLX (4X4),USED,Manual,4WD,Diesel,8.1,201331.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.5
Kia,2019,Carnival,2019 Kia Carnival S,USED,Automatic,Front,Unleaded,10.8,75614.0,White / -,6 cyl,Wagon,4 Doors, 8 Seats, SA,6.0,3.3
Ford,2011,Territory,2011 Ford Territory TS (4X4),USED,Automatic,AWD,Diesel,8.8,240441.0,Black / -,6 cyl,SUV,4 Doors, 7 Seats,QLD,6.0,2.7
Ford,2001,Escape,2001 Ford Escape XLT,USED,Automatic,4WD,Unleaded,13.0,330278.0,- / -,6 cyl,SUV,4 Doors, 5 Seats, SA,6.0,3.0
Hyundai,2019,I30,2019 Hyundai I30 N Line,USED,Automatic,Front,Unleaded,7.1,56333.0,Silver / Black Leather,4 cyl,Hatchback,4 Doors, 5 Seats,VIC,4.0,1.6
Kia,2018,Sorento,2018 Kia Sorento SI (4X4),USED,Automatic,AWD,Diesel,7.2,44446.0,Black / Black,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,2.2
Hyundai,2019,Tucson,2019 Hyundai Tucson Active (2WD),USED,Automatic,Front,Unleaded,7.9,69549.0,Silver / Grey,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Ford,2022,Ranger,2022 Ford Ranger Wildtrak 3.0 (4X4),USED,Automatic,4WD,Diesel,8.4,13260.0,White / Black,6 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,6.0,3.0
Kia,2022,Stinger,2022 Kia Stinger CK PE STINGER 3.3 GT A/T BLACK INT,DEMO,-,Other,-,7.6,2376.0,Grey / Black Cloth,-,Coupe,missing_dr,missing_seats,ACT,4.0,2.2
Mazda,2020,CX-5,2020 Mazda CX-5 AKERA (4x4) MY19 (KF S 4D WAGON 4 Cylinders 2.5 Litre Petrol,USED,Automatic,AWD,Unleaded,7.6,30674.0,White / -,-,Wagon,missing_dr,missing_seats, WA,4.0,2.2
Chrysler,2009,Sebring,2009 Chrysler Sebring JS Limited Sedan 4dr Spts Auto 6sp 2.7i,USED,Automatic,Other,-,7.6,152721.0,Blue / -,-,missing_btc,missing_dr,missing_seats,NSW,4.0,2.2
Toyota,2017,Corolla,2017 Toyota Corolla Wagon,USED,Automatic,Other,-,7.6,147801.0,Silver / Black,-,Wagon,missing_dr,missing_seats,VIC,4.0,2.2
Nissan,2023,Navara,2023 Nissan Navara SL Warrior (4X4),DEMO,Automatic,4WD,Diesel,7.9,2500.0,Silver / Black,4 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,4.0,2.3
Mitsubishi,2001,Triton,2001 Mitsubishi Triton GLX Club Cab,USED,Manual,Other,Unleaded,7.6,381253.0,Blue / -,-,Ute / Tray,missing_dr,missing_seats,NSW,4.0,2.2
Lexus,2009,RX350,2009 Lexus RX350 Sports Luxury,USED,Automatic,4WD,Premium,10.8,260000.0,Grey / Black,6 cyl,SUV,4 Doors, 5 Seats, WA,6.0,3.5
Mercedes-Benz,2017,Sprinter,2017 Mercedes-Benz Sprinter 310CDI Low Roof MWB 7G-Tronic,USED,Automatic,Other,-,7.6,132445.0,White / -,-,Commercial,missing_dr,missing_seats,VIC,4.0,2.2
Renault,2022,Captur,2022 Renault Captur R.s. Line,NEW,Automatic,Front,Premium,6.6,9.0,Grey / -,4 cyl,SUV,4 Doors, 4 Seats,QLD,4.0,1.3
Toyota,2000,Camry,2000 Toyota Camry CSI,USED,Automatic,Front,Unleaded,10.0,139601.0,White / -,4 cyl,Sedan,4 Doors, 5 Seats, WA,4.0,2.2
Toyota,2002,Celica,2002 Toyota Celica SX,USED,Manual,Front,Premium,9.0,273640.0,Silver / Black,4 cyl,Hatchback,2 Doors, 4 Seats,NSW,4.0,1.8
Toyota,2020,Camry,2020 Toyota Camry Ascent,USED,Automatic,Other,Unleaded,7.6,60190.0,White / 2Vfa20,-,missing_btc,missing_dr,missing_seats,NSW,4.0,2.2
Volkswagen,2020,Golf,2020 Volkswagen Golf 110 TSI Comfortline,USED,Automatic,Front,Premium,5.4,22810.0,Black / Black,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.4
Mazda,2023,6,2023 Mazda 6 G35 GT SP,NEW,Automatic,Front,Unleaded,7.6,2.0,White / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.5
GWM,2022,Haval,2022 GWM Haval H6 Ultra AWD,DEMO,Automatic,AWD,Premium,9.8,10.0,Blue / Charcoal Comfort,4 cyl,SUV,4 Doors, 5 Seats,ACT,4.0,2.0
Mitsubishi,2021,Outlander,2021 Mitsubishi Outlander LS 7 Seat (2WD),USED,Automatic,Front,Unleaded,7.7,23782.0,White / -,4 cyl,SUV,4 Doors, 7 Seats, WA,4.0,2.5
Mitsubishi,2016,Pajero,2016 Mitsubishi Pajero GLX LWB (4X4),USED,Automatic,4WD,Diesel,9.0,186850.0,White / Black,4 cyl,SUV,4 Doors, 7 Seats,TAS,4.0,3.2
Hyundai,2020,I30,2020 Hyundai I30 GO,USED,Automatic,Front,Unleaded,7.4,79069.0,White / -,4 cyl,Hatchback,4 Doors, 5 Seats, WA,4.0,2.0
Audi,2018,A5,2018 Audi A5 2.0 Tfsi Quattro S Tronic Sprt,USED,Automatic,AWD,Premium,6.5,82000.0,Black / -,4 cyl,Coupe,2 Doors, 4 Seats,VIC,4.0,2.0
GWM,2022,Haval,2022 GWM Haval H6GT LUX (2WD),DEMO,Automatic,Front,Unleaded,7.5,29.0,Blue / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Subaru,2012,Impreza,2012 Subaru Impreza 2.0I (awd),USED,Automatic,AWD,Unleaded,6.8,173657.0,White / -,4 cyl,Sedan,4 Doors, 5 Seats, SA,4.0,2.0
Nissan,2019,Navara,2019 Nissan Navara ST-X (4X4) (leather Trim),USED,Automatic,4WD,Diesel,7.0,49181.0,Grey / Black,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.3
Toyota,2014,Yaris,2014 Toyota Yaris YR,USED,Manual,Front,Unleaded,5.7,143378.0,Blue / Cloth,4 cyl,Hatchback,5 Doors, 5 Seats,QLD,4.0,1.3
Jeep,2020,Wrangler,2020 Jeep Wrangler Unlimited Rubicon (4X4),USED,Automatic,4WD,Diesel,7.5,41585.0,Green / Tan,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.1
Suzuki,2022,Swift,2022 Suzuki Swift GLX Turbo,NEW,Automatic,Front,Unleaded,5.1,4.0,Grey / Black,3 cyl,Hatchback,5 Doors, 5 Seats,QLD,3.0,1.0
Mitsubishi,2020,Outlander,2020 Mitsubishi Outlander LS 7 Seat (2WD),USED,Automatic,Front,Unleaded,7.2,96427.0,White / -,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,2.4
Volkswagen,2011,Crafter,2011 Volkswagen Crafter 35 MWB TDI330,USED,Automatic,Rear,Diesel,7.6,416449.0,White / Black,-,Commercial,missing_dr,missing_seats,NSW,4.0,2.2
Hyundai,2018,Santa,2018 Hyundai Santa FE Highlander Crdi Satin AWD,USED,Automatic,AWD,Diesel,7.5,79733.0,White / Black,4 cyl,SUV,4 Doors, 7 Seats,VIC,4.0,2.2
Holden,2017,Trax,2017 Holden Trax LS,USED,Automatic,Front,Unleaded,6.9,160351.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,1.4
MG,2022,ZST,2022 MG ZST Excite,NEW,Automatic,Front,Unleaded,7.3,10.0,Silver / -,3 cyl,SUV,5 Doors, 5 Seats,QLD,3.0,1.3
Toyota,2020,Voxy,2020 Toyota Voxy,USED,Automatic,Front,Unleaded,7.6,43000.0,White / -,-,Commercial,missing_dr, 7 Seats,QLD,4.0,2.2
Mitsubishi,2016,Pajero,2016 Mitsubishi Pajero GLS LWB (4X4),USED,Automatic,4WD,Diesel,9.0,95996.0,White / Black,4 cyl,SUV,4 Doors, 7 Seats, WA,4.0,3.2
Peugeot,2019,3008,2019 Peugeot 3008 GT,USED,Automatic,Front,Diesel,4.8,81683.0,White / -,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.0
MG,2022,MG3,2022 MG MG3 Auto Core,NEW,Automatic,Front,Premium,6.7,15.0,Silver / Black & Grey Cloth,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.5
Toyota,2011,Tarago,2011 Toyota Tarago GLI,USED,Automatic,Front,Unleaded,9.5,162282.0,White / Beige,4 cyl,Wagon,4 Doors, 8 Seats,NSW,4.0,2.4
Suzuki,2011,Kizashi,2011 Suzuki Kizashi XLS,USED,Automatic,Front,Unleaded,7.9,141299.0,Silver / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.4
Land,2019,Rover,2019 Land Rover Range Rover Velar D180 R-Dynamic S (132KW),USED,Automatic,AWD,Diesel,6.2,57000.0,Black / Black,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Nissan,2008,Navara,2008 Nissan Navara ST-X (4X4),USED,Manual,4WD,Diesel,9.8,236147.0,Red / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,4.0,2.5
Audi,2021,Q5,2021 Audi Q5 45 Tfsi Quattro Mhev,USED,Automatic,AWD,Hybrid,8.0,69304.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Lexus,2013,RX450H,2013 Lexus RX450H F-Sport,USED,Automatic,4WD,Premium,6.4,168091.0,Grey / -,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.5
Toyota,2016,Landcruiser,2016 Toyota Landcruiser Workmate (4X4),USED,Manual,4WD,Diesel,11.5,169215.0,White / Grey,8 cyl,Ute / Tray,2 Doors, 3 Seats,NSW,8.0,4.5
Land,2013,Rover,2013 Land Rover Range Rover Sport 3.0 SDV6 SE,USED,Automatic,AWD,Diesel,7.5,187010.0,White / -,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.0
Kia,2017,Sportage,2017 Kia Sportage SI (fwd),USED,Automatic,Front,Unleaded,7.9,115759.0,White / Grey,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Mitsubishi,2015,Pajero,2015 Mitsubishi Pajero GLS LWB (4X4),USED,Automatic,4WD,Diesel,9.0,63551.0,Brown / -,4 cyl,SUV,4 Doors, 7 Seats,VIC,4.0,3.2
Toyota,2021,GR,2021 Toyota GR Yaris GR,USED,Manual,AWD,Premium,7.6,12023.0,Red / Grey,3 cyl,Hatchback,3 Doors, 4 Seats,VIC,3.0,1.6
Lexus,2018,NX300,2018 Lexus NX300 Luxury (fwd),USED,Automatic,Front,Premium,7.7,85175.0,Silver / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Mitsubishi,2015,Triton,2015 Mitsubishi Triton GLX (4X4),USED,Automatic,4WD,Diesel,9.3,204000.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.5
Mercedes-Benz,2022,GLS,2022 Mercedes-Benz GLS 450 4Matic (hybrid),USED,Automatic,AWD,Hybrid,9.2,10711.0,White / Black Leather,6 cyl,SUV,4 Doors, 7 Seats,VIC,6.0,3.0
GWM,2023,Haval,2023 GWM Haval Jolion LUX Hybrid,NEW,Automatic,Front,-,5.0,20.0,Blue / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,1.5
Suzuki,2022,Baleno,2022 Suzuki Baleno GL,USED,Automatic,Front,Unleaded,5.4,30870.0,Grey / Black,4 cyl,Hatchback,4 Doors, 5 Seats,TAS,4.0,1.4
Mazda,2016,3,2016 Mazda 3 Maxx,USED,Automatic,Front,Unleaded,5.8,75934.0,Red / -,4 cyl,Hatchback,5 Doors, 5 Seats,QLD,4.0,2.0
Holden,2011,Commodore,2011 Holden Commodore SV6,USED,Manual,Rear,Unleaded,10.2,193604.0,Red / -,6 cyl,Sedan,4 Doors, 5 Seats,NSW,6.0,3.6
Ford,2020,Ranger,2020 Ford Ranger XLT 3.2 HI-Rider (4X2),USED,Automatic,Rear,Diesel,8.2,91873.0,White / Black,5 cyl,Ute / Tray,4 Doors, 5 Seats, SA,5.0,3.2
Mazda,2022,CX-9,2022 Mazda CX-9 Touring (awd),NEW,Automatic,AWD,Unleaded,8.8,7.0,Red / -,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,2.5
Jeep,2018,Wrangler,2018 Jeep Wrangler Unlimited Overland (4X4),USED,Automatic,4WD,Unleaded,11.7,79898.0,Black / Black,6 cyl,SUV,4 Doors, 5 Seats,VIC,6.0,3.6
Toyota,2009,Estima,2009 Toyota Estima AERAS HYBRID LOW KLM IN MINT CONDITION,USED,Automatic,Other,Unleaded,7.6,106904.0,Silver / Beige,-,missing_btc,missing_dr,missing_seats,NSW,4.0,2.2
